,@Token,All Alphabetic,All Alphanumeric,Any Alphabetic,Global IDF,Global TF,Global TF-IDF,Phrase,Stopword
255,we,True,True,True,0.32192809488736235,1748,562.7303098631094,False,True
0,',False,False,False,0.32275367147120115,1747,563.8506640601884,False,False
465,when,True,True,True,0.35195057798681373,1712,602.5393895134251,False,True
180,out,True,True,True,0.3578615404764259,1705,610.1539265123062,False,True
173,no,True,True,True,0.3877851770265462,1670,647.6012456343321,False,True
585,now,True,True,True,0.39384511110069176,1663,654.9644197604504,False,True
269,?,False,False,False,0.4298594601706877,1622,697.2320443968555,False,False
238,they,True,True,True,0.4750320621293542,1572,746.7504016673448,False,True
139,just,True,True,True,0.49071869936999585,1555,763.0675775203435,False,True
272,ai,True,True,True,0.5028305144729265,1542,775.3646533172526,False,False
365,if,True,True,True,0.5150448730271561,1529,787.5036108585216,False,True
107,from,True,True,True,0.5474877953024933,1495,818.4942539772275,False,True
56,can,True,True,True,0.5571703486998326,1485,827.3979678192514,False,True
423,see,True,True,True,0.5620361038716485,1480,831.8134337300397,False,False
37,back,True,True,True,0.5905857603212162,1451,856.9399382260848,False,False
846,),False,False,False,0.6546257118096999,1388,908.6204879918635,False,False
845,(,False,False,False,0.6556654920643581,1387,909.4080374932647,False,False
87,down,True,True,True,0.6713527982151485,1372,921.0960391511837,False,True
153,make,True,True,True,0.675565049502063,1368,924.1729877188221,False,False
35,at,True,True,True,0.6936056050622761,1351,937.061172439135,False,True
406,one,True,True,True,0.6968127832061023,1348,939.3036317618258,False,False
143,let,True,True,True,0.705400279042826,1340,945.2363739173868,False,False
345,go,True,True,True,0.7183781330410359,1328,954.0061606784957,False,False
463,was,True,True,True,0.723820218109284,1323,957.6141485585828,False,True
791,shit,True,True,True,0.7647426370600134,1286,983.4590312591773,False,False
362,how,True,True,True,0.7850785342485535,1268,995.4795814271657,False,True
3052,nigga,True,True,True,0.7953549966689443,1259,1001.3519408062008,False,False
3,'ll,False,False,True,0.8149681061674794,1242,1012.1903878600094,False,False
53,ca,True,True,True,0.851434414693632,1211,1031.0870761939884,False,False
303,come,True,True,True,0.8562076036329394,1207,1033.4425775849577,False,False
259,who,True,True,True,0.881529269841957,1186,1045.493714032561,False,True
637,take,True,True,True,0.8949725229355986,1175,1051.5927144493282,False,False
223,some,True,True,True,0.8986607099657129,1172,1053.2303520798155,False,True
645,time,True,True,True,0.9035930055079434,1168,1055.396630433278,False,False
658,want,True,True,True,0.9073033248463181,1165,1057.0083734459606,False,False
574,man,True,True,True,0.9513105070854107,1130,1074.980873006514,False,False
33,as,True,True,True,0.9692962525587732,1116,1081.7346178555908,False,True
263,yeah,True,True,True,0.9888188108235918,1101,1088.6895107167745,False,False
583,never,True,True,True,0.9993398787160561,1093,1092.2784874366494,False,False
400,na,True,True,True,1.003305144723672,1090,1093.6026077488025,False,False
407,or,True,True,True,1.0072813393606517,1087,1094.9148158850285,False,True
446,then,True,True,True,1.0126000367796335,1083,1096.6458398323432,False,True
1087,cause,True,True,True,1.042208623473196,1061,1105.7833495050609,False,False
1542,fuck,True,True,True,1.0449306903956244,1059,1106.5816011289662,False,False
572,love,True,True,True,1.0476579030052777,1057,1107.3744034765787,False,False
471,ya,True,True,True,1.0490234450295073,1056,1107.7687579511596,False,False
736,here,True,True,True,1.0503902807934133,1055,1108.1617462370511,False,True
464,way,True,True,True,1.0682780021094525,1042,1113.1456781980494,False,False
116,have,True,True,True,1.0682780021094525,1042,1113.1456781980494,False,True
473,yo,True,True,True,1.0807930255229012,1033,1116.459195365157,False,False
174,not,True,True,True,1.100479228222147,1019,1121.3883335583678,False,True
206,say,True,True,True,1.1089991055868227,1013,1123.4160939594515,False,False
939,off,True,True,True,1.1089991055868227,1013,1123.4160939594515,False,True
912,keep,True,True,True,1.1104239896936507,1012,1123.7490775699746,False,False
979,them,True,True,True,1.1290766965955426,999,1127.947619898947,False,True
674,about,True,True,True,1.1290766965955426,999,1127.947619898947,False,True
601,right,True,True,True,1.1363155228256745,994,1129.4976296887205,False,False
475,!,False,False,False,1.1392212540010855,992,1130.1074839690768,False,False
1053,put,True,True,True,1.159726909435727,978,1134.212917428141,False,False
117,he,True,True,True,1.167121569606849,973,1135.6092872274642,False,True
538,give,True,True,True,1.167121569606849,973,1135.6092872274642,False,False
811,tell,True,True,True,1.1985998010800172,952,1141.0670106281764,False,False
447,there,True,True,True,1.2016338611696504,950,1141.552168111168,False,True
3228,niggas,True,True,True,1.2338827780053079,929,1146.277100766931,False,False
52,by,True,True,True,1.2828459296468138,898,1151.9956448228388,False,True
440,still,True,True,True,1.2909011992667379,893,1152.774770945197,False,False
3184,ass,True,True,True,1.2957560385342006,890,1153.2228742954385,False,False
738,hit,True,True,True,1.3186305047867874,876,1155.1203221932258,False,False
5,'re,False,False,True,1.3235797207585207,873,1155.4850962221885,False,False
644,through,True,True,True,1.3235797207585207,873,1155.4850962221885,False,True
348,gon,True,True,True,1.32854597365187,870,1155.834997077127,False,False
282,baby,True,True,True,1.335194349661236,866,1156.2783068066303,False,False
257,where,True,True,True,1.3368612418638737,865,1156.3849742122507,False,True
197,real,True,True,True,1.3435481369911166,861,1156.7949459493514,False,False
169,need,True,True,True,1.3620985333628968,850,1157.7837533584623,False,False
1858,these,True,True,True,1.3637968208349223,849,1157.863500888849,False,True
1386,ta,True,True,True,1.3843337518376169,837,1158.6873502880853,False,False
579,more,True,True,True,1.391244879022413,833,1158.90698422567,False,True
2986,bitch,True,True,True,1.3929778462468685,832,1158.9575680773946,False,False
260,why,True,True,True,1.412179152610156,821,1159.399084292938,False,True
752,life,True,True,True,1.4459591379330403,802,1159.6592286222983,False,False
71,could,True,True,True,1.458606514216243,795,1159.5921788019132,False,False
448,think,True,True,True,1.4622405086839825,793,1159.556723386398,False,False
31,are,True,True,True,1.4787077202727525,784,1159.306852693838,False,True
278,around,True,True,True,1.5235619560570128,760,1157.9070866033298,False,False
267,'cause,False,False,True,1.550385744132723,746,1156.5877651230112,False,False
112,had,True,True,True,1.5523209490384369,745,1156.4791070336355,False,True
452,too,True,True,True,1.5542587532799292,744,1156.3685124402673,False,True
518,even,True,True,True,1.5678967552928909,737,1155.5399086508605,False,False
1134,game,True,True,True,1.5678967552928909,737,1155.5399086508605,False,False
526,feel,True,True,True,1.5698556083309478,736,1155.4137277315776,False,False
935,money,True,True,True,1.5796899684355235,731,1154.7533669263676,False,False
461,wan,True,True,True,1.5836425600610238,729,1154.4754262844863,False,False
428,she,True,True,True,1.591580379485664,725,1153.8957751271064,False,True
1005,big,True,True,True,1.5995621151471382,721,1153.2842850210866,False,False
314,did,True,True,True,1.6055775305649092,718,1152.8046669456048,False,True
445,than,True,True,True,1.6096017871237045,716,1152.4748795805724,False,True
1200,stop,True,True,True,1.625812014304963,708,1151.074906127914,False,False
293,better,True,True,True,1.631938117101805,705,1150.5163725567725,False,False
258,while,True,True,True,1.6484027185195376,697,1148.9366948081176,False,True
290,been,True,True,True,1.6567060222507468,693,1148.0972734197676,False,True
261,will,True,True,True,1.6587893367512363,692,1147.8822210318556,False,True
587,oh,True,True,True,1.6629650127224291,690,1147.4458587784761,False,False
147,look,True,True,True,1.6755650495020629,684,1146.086493859411,False,False
541,good,True,True,True,1.6755650495020629,684,1146.086493859411,False,False
98,every,True,True,True,1.67767579609787,683,1145.8525687348454,False,False
122,his,True,True,True,1.6797896353637882,682,1145.6165313181036,False,True
308,day,True,True,True,1.6882761012516168,678,1144.6511966485962,False,False
356,her,True,True,True,1.690405540812964,677,1144.4045511303766,False,True
377,little,True,True,True,1.6946738724497676,675,1143.9048639035932,False,False
1,'',False,False,False,1.7032486081877771,671,1142.8798160939984,False,False
839,y'all,False,False,True,1.7075551637464998,669,1142.3544045464084,False,False
10,``,False,False,False,1.7118746132033758,667,1141.8203670066516,False,False
1085,call,True,True,True,1.7380664679631481,655,1138.433536515862,False,False
588,only,True,True,True,1.7402707388898782,654,1138.1370632339804,False,True
2,'em,False,False,True,1.7625006862733439,644,1135.0504419600334,False,False
245,try,True,True,True,1.7782680021316606,637,1132.7567173578677,False,False
2031,us,True,True,True,1.7850785342485533,634,1131.7397907135828,False,False
772,over,True,True,True,1.8149681061674796,621,1127.0951939300048,False,True
291,before,True,True,True,1.8219545364835863,618,1125.9679035468564,False,True
439,stay,True,True,True,1.8336743006971792,613,1124.0423463273708,False,False
27,an,True,True,True,1.855012825062882,604,1120.4277463379806,False,True
353,hard,True,True,True,1.8574033724878758,603,1120.0142336101892,False,False
667,world,True,True,True,1.8790984435871951,594,1116.1844754907938,False,False
410,play,True,True,True,1.8986607099657127,586,1112.6151760399077,False,False
650,two,True,True,True,1.901124749917194,585,1112.1579787015585,False,False
167,name,True,True,True,1.925999418556223,575,1107.4496656698282,False,False
171,new,True,True,True,1.9385994553358568,570,1105.0016895414383,False,False
118,head,True,True,True,1.9411327220813788,569,1104.5045188643046,False,False
467,whole,True,True,True,1.9538662119891672,564,1101.9805435618903,False,False
764,mind,True,True,True,1.9538662119891672,564,1101.9805435618903,False,False
1246,black,True,True,True,1.9589912441670347,562,1100.9530792218736,False,False
837,would,True,True,True,1.961560603779168,561,1100.4354987201132,False,False
378,live,True,True,True,1.9692962525587734,558,1098.8673089277956,False,False
607,run,True,True,True,1.9718840470479289,557,1098.3394142056964,False,False
421,said,True,True,True,1.9796753983387725,554,1096.74017067968,False,False
6057,bitches,True,True,True,1.995385481427434,548,1093.4712438222339,False,False
382,long,True,True,True,1.9980205415954042,547,1092.917236252686,False,False
1598,show,True,True,True,2.01660196733713,540,1088.9650623620503,False,False
660,watch,True,True,True,2.0246392864025484,537,1087.2312967981686,False,False
343,girl,True,True,True,2.0300224830994513,535,1086.0620284582064,False,False
1769,g,True,True,True,2.040849513583807,531,1083.6910917130017,False,False
1140,him,True,True,True,2.051758412750746,527,1081.276683519643,False,True
1090,check,True,True,True,2.0544985750956584,526,1080.6662505003162,False,False
549,hold,True,True,True,2.0627504281410194,523,1078.8184739177532,False,False
642,thing,True,True,True,2.0627504281410194,523,1078.8184739177532,False,False
730,gettin,True,True,True,2.079397094073026,517,1075.0482976357544,False,False
468,wo,True,True,True,2.0821903089647065,516,1074.4101994257885,False,False
414,really,True,True,True,2.0877930151940824,514,1073.1256098097583,False,False
522,face,True,True,True,2.093417564387961,512,1071.829792966636,False,False
1306,hot,True,True,True,2.1104239896936505,506,1067.8745387849872,False,False
749,leave,True,True,True,2.121874010437189,502,1065.180753239469,False,False
119,hear,True,True,True,2.13341563231988,498,1062.4409848953,False,False
1139,high,True,True,True,2.1538383500732676,491,1057.5346298859745,False,False
991,well,True,True,True,2.1656396023056184,487,1054.6664863228361,False,False
1546,god,True,True,True,2.186526968779442,480,1049.5329450141323,False,False
402,night,True,True,True,2.192550756407212,478,1048.0392615626474,False,False
275,always,True,True,True,2.198599801080017,476,1046.5335053140882,False,False
307,damn,True,True,True,2.2077211910485657,473,1044.2521233659716,False,False
652,uh,True,True,True,2.2107745150261198,472,1043.4855710923284,False,False
152,made,True,True,True,2.2138343147751773,471,1042.7159622591084,False,False
1034,first,True,True,True,2.2169006178229607,470,1041.9432903767915,False,False
4875,fuckin,True,True,True,2.2169006178229607,470,1041.9432903767915,False,False
48,boy,True,True,True,2.2292314197336807,466,1038.8218415958952,False,False
399,much,True,True,True,2.2323306583925673,465,1038.0337561525437,False,False
285,bad,True,True,True,2.2354365692603886,464,1037.2425681368204,False,False
678,another,True,True,True,2.2354365692603886,464,1037.2425681368204,False,False
809,talk,True,True,True,2.241668522971903,462,1035.650857613019,False,False
2182,same,True,True,True,2.2447946239586227,461,1034.850321644925,False,True
1255,bring,True,True,True,2.254213776291017,458,1032.4299095412857,False,False
7,'ve,False,False,True,2.273238601972773,452,1027.5038480916935,False,False
546,hey,True,True,True,2.2828459296468138,449,1024.9978224114193,False,False
3179,turn,True,True,True,2.292517664467656,446,1022.4628783525746,False,False
1051,people,True,True,True,2.305515004996529,442,1019.0376322084659,False,False
689,break,True,True,True,2.30878271883044,441,1018.173179004224,False,False
1142,home,True,True,True,2.3120578508633014,440,1017.3054543798526,False,False
803,straight,True,True,True,2.3120578508633014,440,1017.3054543798526,False,False
42,best,True,True,True,2.3186305047867872,438,1015.5601610966128,False,False
941,other,True,True,True,2.321928094887362,437,1014.6825774657773,False,True
55,came,True,True,True,2.3252332396110345,436,1013.801692470411,False,False
1026,drop,True,True,True,2.3318663319434814,434,1012.0299880634709,False,False
1360,roll,True,True,True,2.3351943496612355,433,1011.1391534033149,False,False
2554,wit,True,True,True,2.341873505298863,431,1009.3474807838099,False,False
41,beat,True,True,True,2.3452247147985004,430,1008.4466273633551,False,False
1589,ride,True,True,True,2.3519505779868135,428,1006.6348473783562,False,False
521,eyes,True,True,True,2.35532530476747,427,1005.7239051357097,False,False
589,our,True,True,True,2.35532530476747,427,1005.7239051357097,False,True
1411,bust,True,True,True,2.35532530476747,427,1005.7239051357097,False,False
508,die,True,True,True,2.3587079441621226,426,1004.8095842130642,False,False
192,rap,True,True,True,2.3654971098247617,424,1002.970774565699,False,False
821,tryin,True,True,True,2.3654971098247617,424,1002.970774565699,False,False
1394,told,True,True,True,2.382611130688609,419,998.3140637585273,False,False
886,ever,True,True,True,2.382611130688609,419,998.3140637585273,False,False
268,'d,False,False,True,2.3860584323070784,418,997.3724247043588,False,False
129,into,True,True,True,2.389513990943297,417,996.4273342233549,False,True
887,everybody,True,True,True,2.389513990943297,417,996.4273342233549,False,False
554,house,True,True,True,2.3999306068886352,414,993.571271251895,False,False
1186,rock,True,True,True,2.4069170372047424,412,991.6498193283538,False,False
670,young,True,True,True,2.413937464882515,410,989.7143606018311,False,False
347,goin,True,True,True,2.417460531446212,409,988.7413573615007,False,False
216,should,True,True,True,2.4280816472027844,406,985.8011487643305,False,True
980,things,True,True,True,2.4387815358599934,403,982.8289589515773,False,False
3223,motherfucker,True,True,True,2.442365873209032,402,981.8310810300308,False,False
1022,done,True,True,True,2.442365873209032,402,981.8310810300308,False,False
2272,smoke,True,True,True,2.449561374613236,400,979.8245498452944,False,False
1621,top,True,True,True,2.449561374613236,400,979.8245498452944,False,False
1680,next,True,True,True,2.4713657449315845,394,973.7181035030443,False,False
2028,thought,True,True,True,2.4787077202727525,392,971.653426346919,False,False
1047,move,True,True,True,2.493504722200833,388,967.4798322139233,False,False
142,last,True,True,True,2.493504722200833,388,967.4798322139233,False,False
390,might,True,True,True,2.4972278082435504,387,966.427161790254,False,False
16,again,True,True,True,2.5009605271198803,386,965.3707634682738,False,True
529,find,True,True,True,2.5047029288056972,385,964.3106275901935,False,False
643,though,True,True,True,2.512216982463004,383,962.1791042833305,False,False
120,hell,True,True,True,2.527363526216869,379,957.8707764361933,False,False
1044,left,True,True,True,2.5388287127103233,376,954.5995959790815,False,False
906,hoes,True,True,True,2.5388287127103233,376,954.5995959790815,False,False
148,lot,True,True,True,2.542670779004718,375,953.5015421267692,False,False
387,mean,True,True,True,2.542670779004718,375,953.5015421267692,False,False
177,old,True,True,True,2.542670779004718,375,953.5015421267692,False,False
354,heard,True,True,True,2.546523104500324,374,952.3996410831212,False,False
950,ready,True,True,True,2.550385744132723,373,951.2938825615056,False,False
1838,side,True,True,True,2.550385744132723,373,951.2938825615056,False,False
2454,dick,True,True,True,2.5542587532799295,372,950.1842562201338,False,False
827,walk,True,True,True,2.5542587532799295,372,950.1842562201338,False,False
364,i'ma,False,False,True,2.573781311544748,367,944.5777413369226,False,False
188,place,True,True,True,2.581664910620581,365,942.3076923765121,False,False
1264,catch,True,True,True,2.5935716773047552,362,938.8729471843214,False,False
279,ask,True,True,True,2.5975625375007896,361,937.720076037785,False,False
114,hand,True,True,True,2.5975625375007896,361,937.720076037785,False,False
437,start,True,True,True,2.5975625375007896,361,937.720076037785,False,False
304,comin,True,True,True,2.5975625375007896,361,937.720076037785,False,False
160,mine,True,True,True,2.6055775305649096,359,935.4023334728025,False,False
4296,streets,True,True,True,2.609601787123704,358,934.2374397902861,False,False
1415,crazy,True,True,True,2.609601787123704,358,934.2374397902861,False,False
295,block,True,True,True,2.617684133421563,356,931.8955514980763,False,False
997,word,True,True,True,2.617684133421563,356,931.8955514980763,False,False
1201,street,True,True,True,2.62989319111678,353,928.3522964642234,False,False
336,full,True,True,True,2.62989319111678,353,928.3522964642234,False,False
4983,motherfuckers,True,True,True,2.6339859457506636,352,927.1630529042336,False,False
680,away,True,True,True,2.6339859457506636,352,927.1630529042336,False,False
1180,quick,True,True,True,2.6380903440834,351,925.9697107732734,False,False
1284,em,True,True,True,2.6380903440834,351,925.9697107732734,False,False
2702,blow,True,True,True,2.6546257118097,347,921.1551219979658,False,False
1393,throw,True,True,True,2.6546257118097,347,921.1551219979658,False,False
2656,set,True,True,True,2.658789336751236,346,919.9411105159276,False,False
145,listen,True,True,True,2.658789336751236,346,919.9411105159276,False,False
2805,style,True,True,True,2.658789336751236,346,919.9411105159276,False,False
326,everything,True,True,True,2.662965012722429,345,918.7229293892381,False,False
429,since,True,True,True,2.675565049502063,342,915.0432469297056,False,False
1168,own,True,True,True,2.6797896353637882,341,913.8082656590518,False,True
1909,hood,True,True,True,2.6797896353637882,341,913.8082656590518,False,False
155,many,True,True,True,2.684026628250259,340,912.5690536050881,False,False
654,used,True,True,True,2.688276101251617,339,911.3255983242982,False,False
1062,step,True,True,True,2.705400279042826,335,906.3090934793468,False,False
1324,mad,True,True,True,2.709713271913909,334,905.0442328192456,False,False
592,please,True,True,True,2.727095350142145,330,899.9414655469078,False,False
1245,because,True,True,True,2.727095350142145,330,899.9414655469078,False,True
1292,fly,True,True,True,2.731473790652719,329,898.6548771247446,False,False
1039,kick,True,True,True,2.7402707388898784,327,896.0685316169902,False,False
545,heart,True,True,True,2.7446894101568833,326,894.768747711144,False,False
2242,flow,True,True,True,2.749121656472144,325,893.4645383534468,False,False
296,body,True,True,True,2.758027209694036,323,890.8427887311736,False,False
9230,niggaz,True,True,True,2.7625006862733437,322,889.5252209800167,False,False
5065,dogg,True,True,True,2.7714894695005983,320,886.8766302401914,False,False
2440,bout,True,True,True,2.7805346091036056,318,884.2100056949466,False,False
1938,pull,True,True,True,2.7805346091036056,318,884.2100056949466,False,False
1137,hands,True,True,True,2.7850785342485533,317,882.8698953567914,False,False
1501,am,True,True,True,2.7942095460006824,315,880.176006990215,False,True
1334,nothing,True,True,True,2.798796815496334,314,878.8222000658488,False,False
2343,lookin,True,True,True,2.798796815496334,314,878.8222000658488,False,False
450,three,True,True,True,2.812646794257358,311,874.7331530140384,False,False
536,getting,True,True,True,2.8172931591137234,310,873.3608793252542,False,False
457,until,True,True,True,2.8219545364835863,309,871.9839517734282,False,True
57,change,True,True,True,2.8219545364835863,309,871.9839517734282,False,False
1229,after,True,True,True,2.8219545364835863,309,871.9839517734282,False,True
1636,work,True,True,True,2.82663102369306,308,870.6023552974624,False,False
483,believe,True,True,True,2.8313227190177814,307,869.2160747384589,False,False
3691,dead,True,True,True,2.8313227190177814,307,869.2160747384589,False,False
880,doin,True,True,True,2.8313227190177814,307,869.2160747384589,False,False
305,crew,True,True,True,2.840752131937712,305,866.4294002410022,False,False
164,must,True,True,True,2.8454900509443752,304,865.0289754870901,False,False
2855,shot,True,True,True,2.8454900509443752,304,865.0289754870901,False,False
1400,wrong,True,True,True,2.8454900509443752,304,865.0289754870901,False,False
593,pop,True,True,True,2.8502435809150097,303,863.623805017248,False,False
2626,kill,True,True,True,2.8502435809150097,303,863.623805017248,False,False
434,something,True,True,True,2.855012825062882,302,862.2138731689903,False,False
3852,gone,True,True,True,2.8694158901898557,299,857.9553511667668,False,False
2018,spot,True,True,True,2.888846420138757,295,852.2096939409333,False,False
5010,weed,True,True,True,2.8937452195515965,294,850.7610945481694,False,False
1548,gun,True,True,True,2.8937452195515965,294,850.7610945481694,False,False
1851,sure,True,True,True,2.9035930055079433,292,847.8491576083195,False,False
443,talkin,True,True,True,2.908542221479677,291,846.385786450586,False,False
424,seen,True,True,True,2.908542221479677,291,846.385786450586,False,False
3466,deep,True,True,True,2.9135084743730264,290,844.9174575681776,False,False
938,nothin,True,True,True,2.9135084743730264,290,844.9174575681776,False,False
675,act,True,True,True,2.9135084743730264,290,844.9174575681776,False,False
820,true,True,True,True,2.9184918818872823,289,843.4441538654246,False,False
404,nobody,True,True,True,2.9184918818872823,289,843.4441538654246,False,False
1884,caught,True,True,True,2.9184918818872823,289,843.4441538654246,False,False
896,front,True,True,True,2.928510637712273,287,840.4825530234224,False,False
495,close,True,True,True,2.928510637712273,287,840.4825530234224,False,False
834,without,True,True,True,2.9335462276095714,286,838.9942210963375,False,False
4341,snoop,True,True,True,2.938599455335857,285,837.5008447707193,False,False
773,party,True,True,True,2.938599455335857,285,837.5008447707193,False,False
1866,trying,True,True,True,2.938599455335857,285,837.5008447707193,False,False
2829,cash,True,True,True,2.938599455335857,285,837.5008447707193,False,False
669,yes,True,True,True,2.943670444883279,284,836.0024063468512,False,False
4530,motherfuckin,True,True,True,2.943670444883279,284,836.0024063468512,False,False
70,cool,True,True,True,2.953866211989167,282,832.9902717809451,False,False
318,door,True,True,True,2.9589912441670343,281,831.4765396109366,False,False
239,till,True,True,True,2.9589912441670343,281,831.4765396109366,False,False
1732,broke,True,True,True,2.964134547442994,280,829.9576732840384,False,False
1756,cut,True,True,True,2.964134547442994,280,829.9576732840384,False,False
3905,hate,True,True,True,2.9692962525587734,279,828.4336544638978,False,False
648,tried,True,True,True,2.9744764916644537,278,826.9044646827182,False,False
992,went,True,True,True,2.9744764916644537,278,826.9044646827182,False,False
1772,going,True,True,True,2.9744764916644537,278,826.9044646827182,False,False
5834,most,True,True,True,2.9796753983387725,277,825.37008533984,False,True
30,any,True,True,True,2.995385481427434,274,820.7356219111169,False,True
872,cold,True,True,True,3.0059547231376214,272,817.619684693433,False,False
740,ice,True,True,True,3.0059547231376214,272,817.619684693433,False,False
1358,remember,True,True,True,3.0059547231376214,272,817.619684693433,False,False
1683,pay,True,True,True,3.0112685230340888,271,816.053769742238,False,False
3148,fool,True,True,True,3.01660196733713,270,814.4825311810251,False,False
1297,guess,True,True,True,3.0219552018313367,269,812.9059492926295,False,False
986,took,True,True,True,3.0219552018313367,269,812.9059492926295,False,False
1471,low,True,True,True,3.0273283739301884,268,811.3240042132904,False,False
748,lay,True,True,True,3.032721632700407,267,809.7366759310087,False,False
898,girls,True,True,True,3.038135128886771,266,808.1439442838811,False,False
653,understand,True,True,True,3.038135128886771,266,808.1439442838811,False,False
2188,somethin,True,True,True,3.0435690149373995,265,806.5457889584109,False,False
570,light,True,True,True,3.0490234450295075,264,804.94218948779,False,False
2095,makin,True,True,True,3.0490234450295075,264,804.94218948779,False,False
366,inside,True,True,True,3.054498575095658,263,803.333125250158,False,False
156,matter,True,True,True,3.054498575095658,263,803.333125250158,False,False
756,livin,True,True,True,3.054498575095658,263,803.333125250158,False,False
369,knew,True,True,True,3.054498575095658,263,803.333125250158,False,False
871,club,True,True,True,3.054498575095658,263,803.333125250158,False,False
1392,those,True,True,True,3.054498575095658,263,803.333125250158,False,True
1623,touch,True,True,True,3.0599945628505107,262,801.7185754668338,False,False
2249,huh,True,True,True,3.0710497513595065,260,798.4729353534717,False,False
582,mouth,True,True,True,3.0710497513595065,260,798.4729353534717,False,False
1057,sayin,True,True,True,3.0710497513595065,260,798.4729353534717,False,False
1185,rhymes,True,True,True,3.0766092767014066,259,796.8418026656643,False,False
4142,once,True,True,True,3.0766092767014066,259,796.8418026656643,False,True
503,death,True,True,True,3.082190308964707,258,795.2050997128944,False,False
1662,enough,True,True,True,3.082190308964707,258,795.2050997128944,False,False
4581,homies,True,True,True,3.087793015194083,257,793.5628049048793,False,False
663,white,True,True,True,3.0990641275291027,255,790.2613525199212,False,False
309,days,True,True,True,3.104732877615795,254,788.6021509144119,False,False
551,hope,True,True,True,3.110423989693651,253,786.9372693924937,False,False
774,pass,True,True,True,3.110423989693651,253,786.9372693924937,False,False
1210,times,True,True,True,3.116137640888044,252,785.2666855037871,False,False
1765,end,True,True,True,3.1218740104371885,251,783.5903766197343,False,False
1008,car,True,True,True,3.1392212540010855,248,778.5268709922692,False,False
565,kids,True,True,True,3.1450503328032835,247,776.827432202411,False,False
1651,bang,True,True,True,3.1450503328032835,247,776.827432202411,False,False
3206,fucked,True,True,True,3.1450503328032835,247,776.827432202411,False,False
205,rhyme,True,True,True,3.1509030590487215,246,775.1221525259855,False,False
9788,gangsta,True,True,True,3.1509030590487215,246,775.1221525259855,False,False
2170,open,True,True,True,3.1567796253853904,245,773.4110082194206,False,False
716,eat,True,True,True,3.1626802268250747,244,771.6939753453182,False,False
1278,dope,True,True,True,3.1626802268250747,244,771.6939753453182,False,False
1603,sound,True,True,True,3.16860506078218,243,769.9710297700698,False,False
499,crack,True,True,True,3.16860506078218,243,769.9710297700698,False,False
727,friends,True,True,True,3.1745543271133663,242,768.2421471614347,False,False
1174,plus,True,True,True,3.1805282281579994,241,766.5073029860779,False,False
1389,their,True,True,True,3.1805282281579994,241,766.5073029860779,False,True
1256,brother,True,True,True,3.186526968779442,240,764.7664725070662,False,False
2835,fall,True,True,True,3.186526968779442,240,764.7664725070662,False,False
451,tight,True,True,True,3.186526968779442,240,764.7664725070662,False,False
718,fast,True,True,True,3.192550756407212,239,763.0196307813237,False,False
626,soul,True,True,True,3.192550756407212,239,763.0196307813237,False,False
