,@Token,All Alphabetic,All Alphanumeric,Any Alphabetic,Global IDF,Global TF,Global TF-IDF,Phrase,Stopword
2754,no,True,True,True,0.38241004882068835,995,380.4979985765849,False,True
8288,it's,False,False,True,0.3867664538648241,992,383.6723222339055,False,True
11520,what,True,True,True,0.38822151706521135,991,384.7275234116245,False,True
955,now,True,True,True,0.4013835499370064,982,394.1586460381403,False,True
35774,they,True,True,True,0.40874801228331425,977,399.34680800079803,False,True
31468,ain't,False,False,True,0.41912182717720936,970,406.5481723618931,False,False
5365,just,True,True,True,0.4721402094767005,935,441.451095860715,False,True
25948,if,True,True,True,0.4721402094767005,935,441.451095860715,False,True
19790,from,True,True,True,0.4845372356261688,927,449.16601742545845,False,True
7961,can,True,True,True,0.5207838018365119,904,470.7885568602067,False,True
8614,nigga,True,True,True,0.5612434091082953,879,493.33295660619154,False,True
22922,see,True,True,True,0.5645297318069664,877,495.09257479470955,False,False
31766,do,True,True,True,0.569473294751101,874,497.71965961246224,False,True
10501,at,True,True,True,0.6079474425657369,851,517.3632736234421,False,True
34792,back,True,True,True,0.6439952380174123,830,534.5160475544523,False,False
12393,that's,False,False,True,0.686326735723732,806,553.1793489933281,False,False
14366,make,True,True,True,0.6971065744769749,800,557.6852595815799,False,False
25698,was,True,True,True,0.6989110713237227,799,558.4299459876544,False,True
15585,down,True,True,True,0.7262529201364912,784,569.3822893870091,False,True
20471,shit,True,True,True,0.7503757143366653,771,578.539675753569,False,False
29211,one,True,True,True,0.757879996748766,767,581.2939575063035,False,False
11189,how,True,True,True,0.7787203400306267,756,588.7125770631538,False,True
37773,fuck,True,True,True,0.786373912574062,752,591.3531822556946,False,True
28904,can't,False,False,True,0.7921408557929482,749,593.3135009889182,False,False
4692,go,True,True,True,0.8076330319458657,741,598.4560766718864,False,False
11697,some,True,True,True,0.8193623245279726,735,602.2313085280599,False,True
16314,as,True,True,True,0.8692875498596551,710,617.1941604003551,False,True
29890,let,True,True,True,0.8876921302410763,701,622.2721832989945,False,False
37704,take,True,True,True,0.8897516524193706,700,622.8261566935594,False,False
2881,come,True,True,True,0.9572584717776471,668,639.4486591474682,False,False
35349,cause,True,True,True,0.9878159387536171,654,646.0316239448656,False,False
23515,never,True,True,True,0.9922346100206219,652,646.9369657334455,False,False
5988,niggas,True,True,True,0.9944490310860641,651,647.3863192370277,False,True
21402,or,True,True,True,1.019034669364337,640,652.1821883931757,False,True
30607,who,True,True,True,1.02355015048683,638,653.0249960105975,False,True
9974,want,True,True,True,1.02355015048683,638,653.0249960105975,False,False
22193,then,True,True,True,1.0371820160745966,632,655.499034159145,False,True
18851,time,True,True,True,1.050943917319081,626,657.8908922417447,False,False
31840,them,True,True,True,1.0578744112276977,623,659.0557581948557,False,True
33246,keep,True,True,True,1.0765201640250972,615,662.0599008754348,False,False
36789,ya,True,True,True,1.1049485723516146,603,666.2839891280236,False,False
33221,have,True,True,True,1.1145505714629136,599,667.6157923062852,False,True
10334,about,True,True,True,1.1193756429868944,597,668.2672588631759,False,True
29463,put,True,True,True,1.1193756429868944,597,668.2672588631759,False,False
24623,love,True,True,True,1.1266436434509337,594,669.2263242098546,False,False
37866,these,True,True,True,1.1462059098294517,586,671.6766631600586,False,True
21389,tell,True,True,True,1.153610691051203,583,672.5550328828513,False,False
16420,still,True,True,True,1.1861446551995956,570,676.1024534637695,False,False
8868,way,True,True,True,1.201411411852906,564,677.596036285039,False,False
2007,not,True,True,True,1.201411411852906,564,677.596036285039,False,True
4421,by,True,True,True,1.2194292469116677,557,679.2220905297988,False,True
37296,"me,",False,False,True,1.222021691528192,556,679.4440604896748,False,False
3309,ass,True,True,True,1.2246188030142313,555,679.6634356728983,False,False
17391,give,True,True,True,1.2324383074735306,552,680.3059457253888,False,False
8033,man,True,True,True,1.2324383074735306,552,680.3059457253888,False,False
6441,off,True,True,True,1.235054255680542,551,680.5148948799786,False,True
25146,hit,True,True,True,1.2455657414591428,547,681.324460578151,False,False
30535,he,True,True,True,1.248205623331847,546,681.5202703391885,False,True
25906,say,True,True,True,1.258813722897828,542,682.2770378106228,False,False
17181,bitch,True,True,True,1.2911142148011379,530,684.290533844603,False,True
11581,where,True,True,True,1.3158232019731912,521,685.5438882280326,False,True
5719,through,True,True,True,1.3297355088284453,516,686.1435225554777,False,True
22932,here,True,True,True,1.3325341421811188,515,686.2550832232762,False,True
9085,real,True,True,True,1.3494409181760043,509,686.8654273515862,False,False
8393,wanna,True,True,True,1.3809608321836186,498,687.7184944274421,False,False
33236,right,True,True,True,1.3867664538648241,496,687.8361611169528,False,False
647,need,True,True,True,1.4072721092994658,489,688.1560614474388,False,False
6888,gotta,True,True,True,1.422099526977105,484,688.2961710569189,False,False
471,think,True,True,True,1.4310696804816576,481,688.3445163116774,False,False
33931,life,True,True,True,1.434072168643181,480,688.3546409487269,False,False
1291,'cause,False,False,True,1.449179061033389,475,688.3600539908598,False,False
21984,had,True,True,True,1.467518651736323,469,688.2662476643355,False,True
37071,game,True,True,True,1.4736840245420375,467,688.2104394611315,False,False
35495,his,True,True,True,1.4986124208378915,459,687.8631011645922,False,True
11135,big,True,True,True,1.5080727500869577,456,687.6811740396528,False,False
29199,why,True,True,True,1.5239791409963186,451,687.3145925893397,False,True
12879,yeah,True,True,True,1.5465468979015935,444,686.6668226683075,False,False
21442,more,True,True,True,1.5465468979015935,444,686.6668226683075,False,True
33738,she,True,True,True,1.5497998756966813,443,686.5613449336298,False,True
24684,baby,True,True,True,1.576091173515609,435,685.5996604792899,False,False
10468,even,True,True,True,1.5827395495249748,433,685.326224944314,False,False
25380,too,True,True,True,1.5894187051626014,431,685.0394619250812,False,True
27836,than,True,True,True,1.5927699146622394,430,684.891063304763,False,True
30216,are,True,True,True,1.5927699146622394,430,684.891063304763,False,True
29088,her,True,True,True,1.5927699146622394,430,684.891063304763,False,True
19586,been,True,True,True,1.6301563305523479,419,683.0355025014337,False,True
24526,better,True,True,True,1.6301563305523479,419,683.0355025014337,False,False
4596,will,True,True,True,1.637059190807036,417,682.653682566534,False,True
6275,call,True,True,True,1.6509647928322544,413,681.8484594397211,False,False
19540,i'll,False,False,True,1.6579681805700164,411,681.4249222142768,False,False
29848,"up,",False,False,True,1.6685374222802039,408,680.7632682903231,False,False
26468,only,True,True,True,1.6791846664797125,405,680.0697899242836,False,True
30464,while,True,True,True,1.7116061441720896,396,677.7960330921475,False,True
36145,every,True,True,True,1.7152539211872342,395,677.5252988689575,False,False
17420,money,True,True,True,1.7152539211872342,395,677.5252988689575,False,False
30307,"it,",False,False,True,1.7152539211872342,395,677.5252988689575,False,False
577,little,True,True,True,1.722577261993093,393,676.9728639632856,False,False
24202,look,True,True,True,1.7262529201364913,392,676.6911446935046,False,False
11440,around,True,True,True,1.7299379669443473,391,676.4057450752398,False,False
13411,feel,True,True,True,1.7373364192655076,389,675.8238670942825,False,False
10264,you're,False,False,True,1.7410499220645717,388,675.5273697610538,False,True
33850,before,True,True,True,1.7522481286694356,385,674.6155295377326,False,True
37162,'em,False,False,True,1.7597621823267424,383,673.9889158311423,False,False
20024,stop,True,True,True,1.7825420509830352,377,672.0183532206042,False,False
24765,y'all,False,False,True,1.786373912574062,376,671.6765911278474,False,False
27310,try,True,True,True,1.8018039531436683,372,670.2710705694446,False,False
34733,bitches,True,True,True,1.8056873876308963,371,669.9100208110625,False,False
35770,there,True,True,True,1.8213265114084867,367,668.4268296869146,False,True
11373,day,True,True,True,1.8331681240530033,364,667.2731971552932,False,False
52,us,True,True,True,1.8371370262559488,363,666.8807405309094,False,False
31595,stay,True,True,True,1.841116877168494,362,666.4843095349948,False,False
11393,good,True,True,True,1.8531227304286482,359,665.2710602238847,False,False
18864,yo,True,True,True,1.8652293332853016,356,664.0216426495674,False,False
11175,hard,True,True,True,1.8733572141687023,354,663.1684538157206,False,False
7005,could,True,True,True,1.8815311456144022,352,662.2989632562695,False,False
337,gonna,True,True,True,1.8856355439471388,351,661.8580759254457,False,False
31722,black,True,True,True,1.9063345366149747,346,659.5917496687812,False,False
17947,two,True,True,True,1.9188979980788874,343,658.1820133410583,False,False
14519,"yeah,",False,False,True,1.9443579830698412,337,655.2486402945365,False,False
19631,run,True,True,True,1.9486453414729392,336,654.7448347349076,False,False
38087,an,True,True,True,1.9572584717776471,334,653.7243295737342,False,True
559,play,True,True,True,1.9615843971804374,333,653.2076042610856,False,False
23519,head,True,True,True,1.9659233329047747,332,652.6865465243852,False,False
11573,"shit,",False,False,True,1.9702753574444818,331,652.1611433141235,False,False
36845,long,True,True,True,1.9790189905164581,329,651.0972478799147,False,False
1408,over,True,True,True,1.992234610020622,326,649.4684828667228,False,True
26828,won't,False,False,True,2.02355015048683,319,645.5124980052988,False,True
32338,what's,False,False,True,2.028079808967344,318,644.9293792516155,False,False
18215,whole,True,True,True,2.0417547458644205,315,643.1527449472925,False,False
28827,him,True,True,True,2.055560545389451,312,641.3348901615087,False,True
690,"nigga,",False,False,True,2.074176223556798,308,638.8462768554938,False,False
28240,world,True,True,True,2.088297331801451,305,636.9306861994426,False,False
3638,came,True,True,True,2.1025580249266205,302,634.9725235278394,False,False
9179,check,True,True,True,2.1025580249266205,302,634.9725235278394,False,False
16523,bad,True,True,True,2.1121440737558186,300,633.6432221267456,False,False
12921,new,True,True,True,2.1121440737558186,300,633.6432221267456,False,False
31767,watch,True,True,True,2.1217942437895383,298,632.2946846492824,False,False
22636,name,True,True,True,2.1266436434509335,297,631.6131621049273,False,False
30420,hold,True,True,True,2.13150939862275,296,630.926781992334,False,False
25731,leave,True,True,True,2.141290419415335,294,629.5393833081085,False,False
20593,oh,True,True,True,2.1511382053716823,292,628.1323559685312,False,False
16150,g,True,True,True,2.1560874213434156,291,627.4214396109339,False,False
25046,did,True,True,True,2.1560874213434156,291,627.4214396109339,False,True
30240,show,True,True,True,2.161053674236765,290,626.7055655286619,False,False
25178,made,True,True,True,2.166037081751021,289,625.984716626045,False,False
7510,first,True,True,True,2.166037081751021,289,625.984716626045,False,False
28159,smoke,True,True,True,2.176055837576012,287,624.5280253843155,False,False
16330,hear,True,True,True,2.176055837576012,287,624.5280253843155,False,False
10915,same,True,True,True,2.176055837576012,287,624.5280253843155,False,True
5330,another,True,True,True,2.1810914274733104,286,623.7921482573668,False,False
2351,motherfucker,True,True,True,2.1912156447470172,284,622.3052431081529,False,False
32768,hoes,True,True,True,2.196304521419817,283,621.5541795618083,False,False
16006,really,True,True,True,2.2014114118529062,282,620.7980181425196,False,False
24231,break,True,True,True,2.2014114118529062,282,620.7980181425196,False,False
20074,roll,True,True,True,2.2014114118529062,282,620.7980181425196,False,False
36021,"you,",False,False,True,2.2065364440307733,281,620.0367407726472,False,False
30046,told,True,True,True,2.2065364440307733,281,620.0367407726472,False,False
30920,said,True,True,True,2.216841452422512,279,618.4987652258808,False,False
15385,high,True,True,True,2.2220216915281923,278,617.7220302448375,False,False
38293,live,True,True,True,2.2220216915281923,278,617.7220302448375,False,False
27685,young,True,True,True,2.2272205982025115,277,616.9401057020957,False,False
30019,dogg,True,True,True,2.2272205982025115,277,616.9401057020957,False,False
38463,die,True,True,True,2.2272205982025115,277,616.9401057020957,False,False
25092,fuckin',False,False,True,2.232438307473531,276,616.1529728626945,False,False
19304,thing,True,True,True,2.2429306812911727,274,614.5630066737813,False,False
2484,mind,True,True,True,2.2429306812911727,274,614.5630066737813,False,False
20020,gettin',False,False,True,2.2534999230013604,272,612.95197905637,False,False
20319,straight,True,True,True,2.2695004016950757,269,610.4956080559754,False,False
26164,ride,True,True,True,2.2695004016950757,269,610.4956080559754,False,False
35164,face,True,True,True,2.2695004016950757,269,610.4956080559754,False,False
34143,turn,True,True,True,2.291114214801138,265,607.1452669223016,False,False
34555,always,True,True,True,2.296568644893246,264,606.2941222518169,False,False
20297,motherfuckers,True,True,True,2.318594951223245,260,602.8346873180437,False,False
307,much,True,True,True,2.3241544765651456,259,601.9560094303727,False,False
18154,snoop,True,True,True,2.3353382150578215,257,600.1819212698601,False,False
8703,our,True,True,True,2.3353382150578215,257,600.1819212698601,False,True
15720,other,True,True,True,2.3466093273928417,255,598.3853784851747,False,True
10117,catch,True,True,True,2.3694192103009275,251,594.7242217855328,False,False
9109,girl,True,True,True,2.3809608321836184,249,592.859247213721,False,False
33494,home,True,True,True,2.3867664538648246,248,591.9180805584765,False,False
20193,god,True,True,True,2.3867664538648246,248,591.9180805584765,False,False
14812,would,True,True,True,2.392595532667022,247,590.9710965687544,False,False
24615,dick,True,True,True,2.392595532667022,247,590.9710965687544,False,False
37405,bust,True,True,True,2.404324825249129,245,589.0595821860366,False,False
1532,bring,True,True,True,2.404324825249129,245,589.0595821860366,False,False
9979,"out,",False,False,True,2.4102254266888132,244,588.0950041120705,False,False
28203,eyes,True,True,True,2.4102254266888132,244,588.0950041120705,False,False
31093,thought,True,True,True,2.4161502606459186,243,587.1245133369582,False,False
22471,best,True,True,True,2.422099526977105,242,586.1480855284593,False,False
22527,find,True,True,True,2.422099526977105,242,586.1480855284593,False,False
34346,rap,True,True,True,2.422099526977105,242,586.1480855284593,False,False
7464,talk,True,True,True,2.428073428021738,241,585.1656961532389,False,False
6748,tryin',False,False,True,2.4400959562709508,239,583.1829335487572,False,False
15228,full,True,True,True,2.446145000943756,238,582.182510224614,False,False
32020,might,True,True,True,2.4522195153534403,237,581.1760251387653,False,False
19331,into,True,True,True,2.470598044668295,234,578.1199424523811,False,True
23981,streets,True,True,True,2.470598044668295,234,578.1199424523811,False,False
15234,drop,True,True,True,2.4767766195974192,233,577.0889523661987,False,False
836,night,True,True,True,2.4767766195974192,233,577.0889523661987,False,False
9704,next,True,True,True,2.482981769124127,232,576.0517704367975,False,False
7317,everybody,True,True,True,2.482981769124127,232,576.0517704367975,False,False
25068,didn't,False,False,True,2.482981769124127,232,576.0517704367975,False,True
32299,house,True,True,True,2.489213722835642,231,575.0083699750332,False,False
9257,niggaz,True,True,True,2.489213722835642,231,575.0083699750332,False,False
25124,done,True,True,True,2.501758976154756,229,572.9028055394391,False,False
36383,damn,True,True,True,2.5080727500869577,228,571.8405870198263,False,False
14729,"on,",False,False,True,2.5144142769607845,227,570.7720408700981,False,False
32075,last,True,True,True,2.5207838018365116,226,569.6971392150516,False,False
31031,[chorus],False,False,True,2.5336078421940953,224,567.5281566514774,False,False
7587,top,True,True,True,2.5400628643313947,223,566.434018745901,False,False
2499,hot,True,True,True,2.5400628643313947,223,566.434018745901,False,False
12587,let's,False,False,True,2.5465468979015937,222,565.3334113341538,False,False
34922,there's,False,False,True,2.5465468979015937,222,565.3334113341538,False,False
30052,since,True,True,True,2.553060204860268,221,564.2263052741192,False,False
4567,old,True,True,True,2.55960305072704,220,563.1126711599488,False,False
6479,pull,True,True,True,2.5661757046505262,219,561.9924793184653,False,False
36098,ask,True,True,True,2.572778439474773,218,560.8656998055005,False,False
1012,"man,",False,False,True,2.572778439474773,218,560.8656998055005,False,False
25724,well,True,True,True,2.57941153180722,217,559.7323024021667,False,False
27705,hell,True,True,True,2.57941153180722,217,559.7323024021667,False,False
30157,ever,True,True,True,2.586075262088231,216,558.5922566110579,False,False
6539,boy,True,True,True,2.586075262088231,216,558.5922566110579,False,False
14256,left,True,True,True,2.5927699146622394,215,557.4455316523814,False,False
34398,used,True,True,True,2.5927699146622394,215,557.4455316523814,False,False
5867,i'ma,False,False,True,2.5927699146622394,215,557.4455316523814,False,False
31707,throw,True,True,True,2.6198635755445143,211,552.7912144398925,False,False
24797,kick,True,True,True,2.6198635755445143,211,552.7912144398925,False,False
15165,though,True,True,True,2.6198635755445143,211,552.7912144398925,False,False
27372,heard,True,True,True,2.6198635755445143,211,552.7912144398925,False,False
5451,beat,True,True,True,2.626717246585577,210,551.6106217829712,False,False
6392,gon',False,False,True,2.626717246585577,210,551.6106217829712,False,False
914,people,True,True,True,2.626717246585577,210,551.6106217829712,False,False
10152,mad,True,True,True,2.6405230461106073,208,549.2287935910064,False,False
29182,things,True,True,True,2.6405230461106073,208,549.2287935910064,False,False
38561,walk,True,True,True,2.6405230461106073,208,549.2287935910064,False,False
35947,wit,True,True,True,2.6474758067523747,207,548.0274919977415,False,False
9133,block,True,True,True,2.654462237068481,206,546.8192208361071,False,False
22076,many,True,True,True,2.654462237068481,206,546.8192208361071,False,False
28559,kill,True,True,True,2.654462237068481,206,546.8192208361071,False,False
12187,after,True,True,True,2.654462237068481,206,546.8192208361071,False,True
4811,start,True,True,True,2.6614826647462535,205,545.603946272982,False,False
26337,ready,True,True,True,2.6614826647462535,205,545.603946272982,False,False
29690,em,True,True,True,2.6614826647462535,205,545.603946272982,False,False
17158,set,True,True,True,2.668537422280204,204,544.3816341451616,False,False
11858,crazy,True,True,True,2.668537422280204,204,544.3816341451616,False,False
5197,homies,True,True,True,2.6756268470665234,203,543.1522499545042,False,False
1619,quick,True,True,True,2.6756268470665234,203,543.1522499545042,False,False
29273,trying,True,True,True,2.6756268470665234,203,543.1522499545042,False,False
4476,weed,True,True,True,2.6756268470665234,203,543.1522499545042,False,False
28434,hood,True,True,True,2.682751281499905,202,541.9157588629807,False,False
10712,"now,",False,False,True,2.682751281499905,202,541.9157588629807,False,False
21413,move,True,True,True,2.682751281499905,202,541.9157588629807,False,False
26144,lot,True,True,True,2.689911073072771,201,540.6721256876269,False,False
23734,side,True,True,True,2.689911073072771,201,540.6721256876269,False,False
24398,"back,",False,False,True,2.71160614417209,198,536.8980165460738,False,False
31760,rock,True,True,True,2.7189109447953235,197,535.6254561246787,False,False
25415,shot,True,True,True,2.7189109447953235,197,535.6254561246787,False,False
23355,own,True,True,True,2.7189109447953235,197,535.6254561246787,False,True
31247,hand,True,True,True,2.7262529201364916,196,534.3455723467523,False,False
7562,fucked,True,True,True,2.741049922064572,194,531.763684880527,False,False
10422,gangsta,True,True,True,2.7485057269836193,193,530.4616053078386,False,False
23570,should,True,True,True,2.7485057269836193,193,530.4616053078386,False,True
37017,getting,True,True,True,2.7485057269836193,193,530.4616053078386,False,False
34428,away,True,True,True,2.7485057269836193,193,530.4616053078386,False,False
4412,blow,True,True,True,2.7560002635305434,192,529.1520505978643,False,False
24163,dead,True,True,True,2.786373912574062,188,523.8382955639237,False,False
21619,please,True,True,True,2.786373912574062,188,523.8382955639237,False,False
4248,am,True,True,True,2.7940683043640626,187,522.4907729160797,False,True
25089,"bitch,",False,False,True,2.801803953143668,186,521.1355352847222,False,False
11157,ice,True,True,True,2.825262925967657,183,517.0231154520812,False,False
32582,caught,True,True,True,2.825262925967657,183,517.0231154520812,False,False
25743,nothing,True,True,True,2.8331681240530036,182,515.6365985776466,False,False
26603,seen,True,True,True,2.8331681240530036,182,515.6365985776466,False,False
5701,everything,True,True,True,2.8331681240530036,182,515.6365985776466,False,False
15414,goin',False,False,True,2.849109667922025,180,512.8397402259645,False,False
27896,fly,True,True,True,2.849109667922025,180,512.8397402259645,False,False
29086,comin',False,False,True,2.849109667922025,180,512.8397402259645,False,False
6487,without,True,True,True,2.849109667922025,180,512.8397402259645,False,False
12373,tried,True,True,True,2.857146986987443,179,511.42931067075233,False,False
2779,gun,True,True,True,2.857146986987443,179,511.42931067075233,False,False
24846,remember,True,True,True,2.857146986987443,179,511.42931067075233,False,False
32367,bout,True,True,True,2.857146986987443,179,511.42931067075233,False,False
12459,mean,True,True,True,2.865229333285302,178,510.0108213247837,False,False
36522,death,True,True,True,2.865229333285302,178,510.0108213247837,False,False
37697,went,True,True,True,2.865229333285302,178,510.0108213247837,False,False
10018,heart,True,True,True,2.8733572141687023,177,508.5842269078603,False,False
31730,place,True,True,True,2.8815311456144026,176,507.1494816281349,False,False
31384,street,True,True,True,2.8815311456144026,176,507.1494816281349,False,False
11247,"yo,",False,False,True,2.8815311456144026,176,507.1494816281349,False,False
7122,thug,True,True,True,2.8815311456144026,176,507.1494816281349,False,False
29758,nobody,True,True,True,2.889751652419371,175,505.7065391733899,False,False
37688,motherfuckin',False,False,True,2.898019268402971,174,504.25535270211697,False,False
14664,mine,True,True,True,2.9063345366149744,173,502.7958748343906,False,False
3018,style,True,True,True,2.9063345366149744,173,502.7958748343906,False,False
17299,three,True,True,True,2.9063345366149744,173,502.7958748343906,False,False
31847,body,True,True,True,2.9063345366149744,173,502.7958748343906,False,False
4834,took,True,True,True,2.9063345366149744,173,502.7958748343906,False,False
9852,hate,True,True,True,2.9146980095496016,172,501.32805764253146,False,False
21890,yo',False,False,True,2.9146980095496016,172,501.32805764253146,False,False
20084,"that,",False,False,True,2.9146980095496016,172,501.32805764253146,False,False
6247,he's,False,False,True,2.9231102493658017,171,499.85185264155206,False,False
843,bang,True,True,True,2.9231102493658017,171,499.85185264155206,False,False
10123,pop,True,True,True,2.9231102493658017,171,499.85185264155206,False,False
5654,step,True,True,True,2.9231102493658017,171,499.85185264155206,False,False
12189,again,True,True,True,2.931571828113998,170,498.3672107793797,False,True
6516,knew,True,True,True,2.931571828113998,170,498.3672107793797,False,False
2286,cold,True,True,True,2.931571828113998,170,498.3672107793797,False,False
33885,must,True,True,True,2.931571828113998,170,498.3672107793797,False,False
10222,white,True,True,True,2.931571828113998,170,498.3672107793797,False,False
8285,"down,",False,False,True,2.9400833279695155,169,496.87408242684813,False,False
7953,lookin',False,False,True,2.9400833279695155,169,496.87408242684813,False,False
7109,until,True,True,True,2.948645341472939,168,495.3724173674538,False,True
27023,hands,True,True,True,2.957258471777647,167,493.8621647868671,False,False
5800,because,True,True,True,2.957258471777647,167,493.8621647868671,False,True
38437,guess,True,True,True,2.957258471777647,167,493.8621647868671,False,False
15953,act,True,True,True,2.965923332904775,166,492.34327326219267,False,False
13537,true,True,True,True,2.974640550005884,165,490.8156907509708,False,False
27886,change,True,True,True,2.974640550005884,165,490.8156907509708,False,False
2361,believe,True,True,True,2.9834107596336157,164,489.27936457991296,False,False
37104,deep,True,True,True,2.9834107596336157,164,489.27936457991296,False,False
35505,going,True,True,True,2.9922346100206223,163,487.73424143336143,False,False
5337,pay,True,True,True,3.001112761367075,162,486.18026734146616,False,False
4619,listen,True,True,True,3.001112761367075,162,486.18026734146616,False,False
22303,gone,True,True,True,3.001112761367075,162,486.18026734146616,False,False
4961,cash,True,True,True,3.001112761367075,162,486.18026734146616,False,False
26155,plus,True,True,True,3.001112761367075,162,486.18026734146616,False,False
17879,couldn't,False,False,True,3.0100458861370827,161,484.6173876680703,False,True
20289,word,True,True,True,3.0100458861370827,161,484.6173876680703,False,False
11562,pass,True,True,True,3.028079808967344,159,481.46468962580775,False,False
11107,till,True,True,True,3.028079808967344,159,481.46468962580775,False,False
10290,flow,True,True,True,3.0463420153600724,157,478.2756964115314,False,False
30843,spot,True,True,True,3.0463420153600724,157,478.2756964115314,False,False
37827,me?,False,False,True,3.055560545389451,156,476.66744508075436,False,False
32939,"know,",False,False,True,3.055560545389451,156,476.66744508075436,False,False
1844,most,True,True,True,3.064838358977462,155,475.0499456415066,False,True
21705,close,True,True,True,3.064838358977462,155,475.0499456415066,False,False
34606,you'll,False,False,True,3.064838358977462,155,475.0499456415066,False,True
21148,broke,True,True,True,3.064838358977462,155,475.0499456415066,False,False
25190,their,True,True,True,3.074176223556798,154,473.4231384277469,False,True
36712,work,True,True,True,3.0835749215590473,153,471.78696299853425,False,False
29218,fucking,True,True,True,3.0835749215590473,153,471.78696299853425,False,False
3502,dope,True,True,True,3.0930352508081143,152,470.14135812283337,False,False
32170,blue,True,True,True,3.0930352508081143,152,470.14135812283337,False,False
16644,touch,True,True,True,3.10255802492662,151,468.48626176391963,False,False
34641,living,True,True,True,3.10255802492662,151,468.48626176391963,False,False
19715,nothin',False,False,True,3.10255802492662,151,468.48626176391963,False,False
23096,wrong,True,True,True,3.1121440737558186,150,466.8216110633728,False,False
2922,something,True,True,True,3.1121440737558186,150,466.8216110633728,False,False
34479,west,True,True,True,3.1121440737558186,150,466.8216110633728,False,False
9544,g's,False,False,True,3.121794243789538,149,465.14734232464116,False,False
27411,i'd,False,False,True,3.121794243789538,149,465.14734232464116,False,False
3555,lay,True,True,True,3.13150939862275,148,463.463390996167,False,False
31513,sure,True,True,True,3.141290419415335,147,461.76969165405427,False,False
37946,cut,True,True,True,3.141290419415335,147,461.76969165405427,False,False
32664,livin',False,False,True,3.1511382053716828,146,460.06617798426566,False,False
25239,low,True,True,True,3.1511382053716828,146,460.06617798426566,False,False
32777,i've,False,False,True,3.1511382053716828,146,460.06617798426566,False,False
5195,mama,True,True,True,3.161053674236765,145,458.3527827643309,False,False
26035,hoe,True,True,True,3.161053674236765,145,458.3527827643309,False,False
15427,blast,True,True,True,3.161053674236765,145,458.3527827643309,False,False
2128,hey,True,True,True,3.161053674236765,145,458.3527827643309,False,False
301,matter,True,True,True,3.1710377628093873,144,456.6294378445518,False,False
20300,'bout,False,False,True,3.1710377628093873,144,456.6294378445518,False,False
10093,gave,True,True,True,3.1710377628093873,144,456.6294378445518,False,False
38500,grab,True,True,True,3.18109142747331,143,454.8960741286833,False,False
32445,motherfucking,True,True,True,3.18109142747331,143,454.8960741286833,False,False
37297,police,True,True,True,3.18109142747331,143,454.8960741286833,False,False
22032,crack,True,True,True,3.18109142747331,143,454.8960741286833,False,False
35733,stuck,True,True,True,3.1912156447470177,142,453.1526215540765,False,False
37912,city,True,True,True,3.201411411852906,141,451.39900907125974,False,False
10260,"baby,",False,False,True,3.201411411852906,141,451.39900907125974,False,False
